"Key","Recommendation","Reason","CISTicket"
"HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\Netlogon\Parameters:MaximumPasswordAge","2.3.6.5","Registry key is missing from audit procedure cell of documentation",
"HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\WindowsFirewall\DomainProfile:EnableFirewall","9.1.1","Typo in audit procedure. \EnableFirewall vs :EnableFirewall","#11486"
"HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\WindowsFirewall\DomainProfile:DefaultInboundAction","9.1.2","Typo in audit procedure. \DefaultInboundAction vs :DefaultInboundAction","#11491"
"HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\WindowsFirewall\DomainProfile:DefaultOutboundAction","9.1.3","Typo in audit procedure. \DefaultOutboundAction vs :DefaultOutboundAction","#11492"
"HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\WindowsFirewall\DomainProfile:DisableNotifications","9.1.4","Typo in audit procedure. \DisableNotifications vs :DisableNotifications","#11487"
"HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\WindowsFirewall\DomainProfile\Logging:LogFilePath","9.1.5","Typo in audit procedure. \LogFilePath vs :LogFilePath","#11485"
"HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\WindowsFirewall\DomainProfile\Logging:LogFileSize","9.1.6","Typo in audit procedure. \LogFileSize vs :LogFileSize","#11489"
"HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\WindowsFirewall\DomainProfile\Logging:LogDroppedPackets","9.1.7","Typo in audit procedure. \LogDroppedPackets vs :LogDroppedPackets","#11488"
"HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\WindowsFirewall\DomainProfile\Logging:LogSuccessfulConnections","9.1.8","Typo in audit procedure. \LogSuccessfulConnections vs :LogSuccessfulConnections","#11490"
"HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Windows\WCN\Registrars:HigherPrecedenceRegistrar","18.5.20.1","These are unmentioned keys impacted by the remediation steps",
"HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Windows\WCN\Registrars:MaxWCNDeviceNumber","18.5.20.1","These are unmentioned keys impacted by the remediation steps",
"HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows\Group Policy\{35378EAC-683F-11D2-A89A-00C04FBBCFA2}:NoBackgroundPolicy","18.8.21.2","Benchmark has a typo. '\NoBackgroundPolicy' vs ':NoBackgroundPolicy'",
"HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows\Group Policy\{35378EAC-683F-11D2-A89A-00C04FBBCFA2}:NoGPOListChanges","18.8.21.3","Benchmark has a typo. '\NoGPOListChanges' vs ':NoGPOListChanges'",
"HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services:fAllowUnsolicitedFullControl","18.8.36.1","These are unmentioned keys impacted by the remediation steps",
"HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services\RAUnsolicit:","18.8.36.1","These are unmentioned keys impacted by the remediation steps",
"HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services:fUseMailto","18.8.36.2","These are unmentioned keys impacted by the remediation steps",
"HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services:MaxTicketExpiryUnits","18.8.36.2","These are unmentioned keys impacted by the remediation steps",
"HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services:MaxTicketExpiry","18.8.36.2","These are unmentioned keys impacted by the remediation steps",
