Key,Recommendation,Reason,CISTicket
HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows\WindowsUpdate:PauseFeatureUpdatesStartTime,18.9.102.1.2,these keys have changed in 1703+ and the documentation is outdated. https://docs.microsoft.com/en-us/windows/deployment/update/waas-configure-wufb,
HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows\WindowsUpdate:PauseQualityUpdatesStartTime,18.9.102.1.3,these keys have changed in 1703+ and the documentation is outdated. https://docs.microsoft.com/en-us/windows/deployment/update/waas-configure-wufb,
HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services:MaxTicketExpiry,18.8.36.2,These are unmentioned keys impacted by the remediation steps,
HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services:MaxTicketExpiryUnits,18.8.36.2,These are unmentioned keys impacted by the remediation steps,
HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services\RAUnsolicit:,18.8.36.1,These are unmentioned keys impacted by the remediation steps,
HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services:fAllowUnsolicitedFullControl,18.8.36.1,These are unmentioned keys impacted by the remediation steps,
HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services:fUseMailto,18.8.36.2,These are unmentioned keys impacted by the remediation steps,
HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services:fAllowFullControl,18.8.36.2,These are unmentioned keys impacted by the remediation steps,
HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Windows\WCN\Registrars:MaxWCNDeviceNumber,18.5.20.1,These are unmentioned keys impacted by the remediation steps,
HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Windows\WCN\Registrars:HigherPrecedenceRegistrar,18.5.20.1,These are unmentioned keys impacted by the remediation steps,
HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\WindowsFirewall:PolicyVersion,Ignore,This is not present in the benchmark,
HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Windows\PowerShell\ScriptBlockLogging:EnableScriptBlockInvocationLogging,18.9.100.1,EnableScriptBlockInvocationLogging vs EnableScriptBlockLogging,
HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Windows\PowerShell\Transcription:OutputDirectory,18.9.100.2,These are unmentioned keys impacted by the remediation steps,
HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Windows\PowerShell\Transcription:EnableInvocationHeader,18.9.100.2,These are unmentioned keys impacted by the remediation steps,
HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Windows\WindowsUpdate:ManagePreviewBuilds,18.9.108.4.1,ManagePreviewBuilds vs ManagePreview,
HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Windows NT\Printers\PointAndPrint:RestrictDriverInstallationToAdministrators,18.3.5,SOFTWARE vs Software,
HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Windows NT\Printers\PointAndPrint:Restricted,Ignore,This is not present in the benchmark,
HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Windows NT\Printers\PointAndPrint:TrustedServers,Ignore,This is not present in the benchmark,
HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Windows NT\Printers\PointAndPrint:ServerList,Ignore,This is not present in the benchmark,
HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Windows NT\Printers\PointAndPrint:InForest,Ignore,This is not present in the benchmark,
HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Windows\WinRM\Service:IPv6Filter,Ignore,This is not present in the benchmark,
HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Windows\WinRM\Service:IPv4Filter,Ignore,This is not present in the benchmark,
