"Key","Recommendation","Reason","CISTicket"
"HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\FVE:FDVNoBitLockerToGoReader","18.10.9.1.1","These are unmentioned keys impacted by the remediation steps",""
"HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\FVE:FDVEnforcePassphrase","18.10.9.1.11","These are unmentioned keys impacted by the remediation steps",""
"HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\FVE:FDVPassphraseComplexity","18.10.9.1.11","These are unmentioned keys impacted by the remediation steps",""
"HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\FVE:FDVPassphraseLength","18.10.9.1.11","These are unmentioned keys impacted by the remediation steps",""
"HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\FVE:FDVAllowedHardwareEncryptionAlgorithms","18.10.9.1.10","These are unmentioned keys impacted by the remediation steps",""
"HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\FVE:FDVRestrictHardwareEncryptionAlgorithms","18.10.9.1.10","These are unmentioned keys impacted by the remediation steps",""
"HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\FVE:FDVAllowSoftwareEncryptionFailover","18.9.11.1.10","These are unmentioned keys impacted by the remediation steps",""
"HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\FVE:OSAllowSoftwareEncryptionFailover","18.10.9.2.11","These are unmentioned keys impacted by the remediation steps",""
"HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\FVE:OSRestrictHardwareEncryptionAlgorithms","18.10.9.2.11","These are unmentioned keys impacted by the remediation steps",""
"HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\FVE:OSAllowedHardwareEncryptionAlgorithms","18.10.9.2.11","These are unmentioned keys impacted by the remediation steps",""
"HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\FVE:OSPassphraseASCIIOnly","18.10.9.2.12","These are unmentioned keys impacted by the remediation steps",""
"HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\FVE:OSPassphraseLength","18.10.9.2.12","These are unmentioned keys impacted by the remediation steps",""
"HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\FVE:OSPassphraseComplexity","18.10.9.2.12","These are unmentioned keys impacted by the remediation steps",""
"HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\FVE:RDVAllowSoftwareEncryptionFailover","18.10.9.2.13","These are unmentioned keys impacted by the remediation steps",""
"HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\FVE:RDVAllowedHardwareEncryptionAlgorithms","18.10.9.2.13","These are unmentioned keys impacted by the remediation steps",""
"HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\FVE:UseTPMKey","18.10.9.2.13","These are unmentioned keys impacted by the remediation steps",""
"HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\FVE:RDVRestrictHardwareEncryptionAlgorithms","18.10.9.2.13","These are unmentioned keys impacted by the remediation steps",""
"HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\FVE:UseTPMKeyPIN","18.10.9.2.13","These are unmentioned keys impacted by the remediation steps",""
"HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\FVE:UseTPM","18.10.9.2.13","These are unmentioned keys impacted by the remediation steps",""
"HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\FVE:UseTPMPIN","18.10.9.2.13","These are unmentioned keys impacted by the remediation steps",""
"HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\FVE:RDVNoBitLockerToGoReader","18.10.9.3.1","These are unmentioned keys impacted by the remediation steps",""
"HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\FVE:RDVEnforcePassphrase","18.10.9.3.11","These are unmentioned keys impacted by the remediation steps",""
"HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\FVE:RDVPassphraseComplexity","18.10.9.3.11","These are unmentioned keys impacted by the remediation steps",""
"HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\FVE:RDVPassphraseLength","18.10.9.3.11","These are unmentioned keys impacted by the remediation steps",""
"HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Windows\DeviceInstall\Restrictions\DenyDeviceClasses:1","18.9.7.1.5","key is in a related recommendation 18.9.7.1.5",""
"HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Windows\DeviceInstall\Restrictions\DenyDeviceClasses:2","18.9.7.1.5","key is in a related recommendation 18.9.7.1.5",""
"HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Windows\DeviceInstall\Restrictions\DenyDeviceClasses:3","18.9.7.1.5","key is in a related recommendation 18.9.7.1.5",""
"HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Windows\DeviceInstall\Restrictions\DenyDeviceClasses:4","18.9.7.1.5","key is in a related recommendation 18.9.7.1.5",""
"HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Windows\DeviceInstall\Restrictions\DenyDeviceClasses:","ignore","group policy seems to need this for 18.9.7.1.5 but its n/a for DSC",""
"HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Windows\DeviceInstall\Restrictions\DenyDeviceIDs:","ignore","group policy seems to need this for 18.9.7.1.5 but its n/a for DSC",""
"HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\AppHVSI:AppHVSIClipboardFileType","18.9.46.5","These are unmentioned keys impacted by the remediation steps",""
